"","name","ID","Glucose.plus.Acetate_vs_Lysine_p.val","Glucose.plus.Acetate_vs_Lysine_p.adj","significant","Glucose.plus.Acetate_vs_Lysine_significant","Glucose.plus.Acetate_vs_Lysine_ratio","Glucose.plus.Acetate_centered","Lysine_centered"
"1","IB211_00001",">AF_00001 AF_00001 Chromosomal replication initiator protein DnaA 1:1323 forward MW:50525",0.00449005314595659,0.679,FALSE,FALSE,1.34,0.669,-0.669
"2","IB211_00003",">AF_00003 AF_00003 DNA polymerase III beta subunit (EC 2.7.7.7) 1612:2724 forward MW:40098",0.0109991967905167,0.741,FALSE,FALSE,0.518,0.259,-0.259
"3","IB211_00007",">AF_00007 AF_00007 DNA gyrase subunit B (EC 5.99.1.3) 4519:6477 forward MW:72345",0.0312756019331492,0.792,FALSE,FALSE,-0.455,-0.227,0.227
"4","IB211_00009",">AF_00009 AF_00009 DNA gyrase subunit A (EC 5.99.1.3) 7379:9928 forward MW:96124",0.0215823148756341,0.776,FALSE,FALSE,0.484,0.242,-0.242
"5","IB211_00013c",">AF_00013c AF_00013c Lipoteichoic acid synthase LtaS Type IIb 12219:14090 reverse MW:71043",0.000113414509870885,0.193,FALSE,FALSE,2.93,1.47,-1.47
"6","IB211_00014c",">AF_00014c AF_00014c Glycyl-tRNA synthetase (EC 6.1.1.14) 14195:15616 reverse MW:54615",0.00365725669231998,0.661,FALSE,FALSE,0.696,0.348,-0.348
"7","IB211_00017",">AF_00017 AF_00017 SSU ribosomal protein S20p 18353:18616 forward MW:9364",0.668650442462907,0.879,FALSE,FALSE,-0.219,-0.11,0.11
"8","IB211_00019c",">AF_00019c AF_00019c Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) 18957:19427 reverse MW:16981",0.035885033193144,0.797,FALSE,FALSE,-1.41,-0.704,0.704
"9","IB211_00023",">AF_00023 AF_00023 Lipid A export ATP-binding/permease protein MsbA 21184:22920 forward MW:62752",0.000125530753277772,0.206,FALSE,FALSE,-2.22,-1.11,1.11
"10","IB211_00024",">AF_00024 AF_00024 Multidrug resistance ABC transporter ATP-binding and permease protein 22920:24977 forward MW:75146",8.67623960082042e-05,0.164,FALSE,FALSE,-2.73,-1.37,1.37
